State	GDP2015	GDP2012	GDP2011	GDP2010	GDP2009
IA	52807	42222	41404	40657	40141
AL	42663	32615	32354	32148	31493
AK	81801	61156	61202	60873	63264
AZ	43269	35195	34676	34463	34905
AR	41129	31837	31547	31516	30991
CA	61924	46029	44898	44793	45105
CO	58009	46242	45913	45759	45450
CT	72331	54925	55143	55269	54814
DE	69930	61183	61737	61677	62072
DC	181185	145663	147965	148729	147193
FL	42595	34802	34440	34519	34775
GA	48574	37702	37324	36948	36776
HI	55598	44442	44296	43769	42995
ID	39398	31945	32025	32292	32133
IL	59472	46151	45306	44481	43851
IN	49328	39065	37935	37273	35202
KS	50218	41070	40716	39636	38980
KT	41586	33519	33135	32659	31313
LA	54159	43145	42764	44209	42268
ME	41477	34597	34455	34326	33672
MD	60097	46720	46054	45685	44632
MA	69705	53221	52517	51889	50285
MI	46585	35298	34547	33391	31738
MN	60256	47028	45708	45271	44262
MS	35717	28944	28337	28741	28289
MO	47209	36815	36169	36139	35663
MT	44308	33204	32742	32209	31780
NE	59175	44943	44594	44061	42823
NV	48639	41029	40970	40532	40974
NH	53834	42958	42818	41951	40631
NJ	64070	49430	49020	49026	48526
NM	41551	33900	33872	34263	34485
NY	72965	53067	52657	52242	50452
NC	50159	40289	39627	39821	39390
OH	51052	37690	36892	35881	35171
OK	46298	36252	35726	35349	35523
OR	56009	48069	46573	45375	43247
PA	52925	40063	39455	38806	38105
RI	53321	41678	41061	41000	40565
SC	40212	31881	31345	30926	30483
SD	51902	43181	43561	42090	42567
TN	46531	37254	36370	35763	35189
TX	59994	46498	45025	44203	43221
UT	48965	39158	38373	37903	37770
VT	47520	38198	37736	37291	35383
VA	56891	47127	47118	47042	45891
WA	62213	47146	45942	45631	45113
WV	38567	30389	29427	28891	28078
WS	51456	39308	38845	38491	37499
WY	68536	54305	54969	56689	57942
ND	70926	55250	49847	46867	44359
